date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:22:01	105/105	---M-Z	200	added ('OK')	text/plain	etag:%2269e75dd6f1c26e8cd46be5b823bbda75%22	https://wsuformulaelectric.framer.website/robots.txt		(from )
16:22:02	210951/210951	---M-Z	200	added ('OK')	text/html	etag:%22b31ca5963b2fcd51dacf4fba23b36c38%22	https://wsuformulaelectric.framer.website/	C:/My%20Web%20Sites/formulaelectric/wsuformulaelectric.framer.website/index.html	(from )
16:22:02	20446/20446	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2000:22:02%20GMT	https://framerusercontent.com/images/q5if1T2O6vnH81YgMuYaWbZmWJs.png	C:/My%20Web%20Sites/formulaelectric/framerusercontent.com/images/q5if1T2O6vnH81YgMuYaWbZmWJs.png	(from https://wsuformulaelectric.framer.website/)
16:22:02	116260/116260	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2000:22:02%20GMT	https://framerusercontent.com/images/YvnrYhkE3KUnG69byma7dfABU.jpg	C:/My%20Web%20Sites/formulaelectric/framerusercontent.com/images/YvnrYhkE3KUnG69byma7dfABU.jpg	(from https://wsuformulaelectric.framer.website/)
16:22:03	16066/16066	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2000:22:03%20GMT	https://framerusercontent.com/images/d4S1iAuWFnSxMphl3r0Y5Nrp6rE.png	C:/My%20Web%20Sites/formulaelectric/framerusercontent.com/images/d4S1iAuWFnSxMphl3r0Y5Nrp6rE.png	(from https://wsuformulaelectric.framer.website/)
16:22:03	145930/145930	---M-Z	200	added ('OK')	text/html	etag:%2200769267b2044f7d123c42cb11bc6331%22	https://wsuformulaelectric.framer.website/about	C:/My%20Web%20Sites/formulaelectric/wsuformulaelectric.framer.website/about.html	(from https://wsuformulaelectric.framer.website/)
16:22:04	147962/147962	---M-Z	200	added ('OK')	text/html	etag:%22b91f4b710d614f57692b3fd73af89112%22	https://wsuformulaelectric.framer.website/updates	C:/My%20Web%20Sites/formulaelectric/wsuformulaelectric.framer.website/updates.html	(from https://wsuformulaelectric.framer.website/)
16:22:04	157957/157957	---M-Z	200	added ('OK')	text/html	etag:%22bf786164f58a044e720502126fcecb23%22	https://wsuformulaelectric.framer.website/contact	C:/My%20Web%20Sites/formulaelectric/wsuformulaelectric.framer.website/contact.html	(from https://wsuformulaelectric.framer.website/)
16:22:05	136299/136299	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2000:22:04%20GMT	https://framerusercontent.com/images/FZFOxVZdJLh3n4Hy4qiIACcrptY.jpg	C:/My%20Web%20Sites/formulaelectric/framerusercontent.com/images/FZFOxVZdJLh3n4Hy4qiIACcrptY.jpg	(from https://wsuformulaelectric.framer.website/)
16:22:05	8191/8191	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2000:22:05%20GMT	https://framerusercontent.com/images/tBe6BWah8L5zxQu038QoGxvrrs.png	C:/My%20Web%20Sites/formulaelectric/framerusercontent.com/images/tBe6BWah8L5zxQu038QoGxvrrs.png	(from https://wsuformulaelectric.framer.website/)
16:22:05	9836/9836	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2000:22:05%20GMT	https://framerusercontent.com/images/JMmuvFjcK0khTagnqux1r0qbY1g.png	C:/My%20Web%20Sites/formulaelectric/framerusercontent.com/images/JMmuvFjcK0khTagnqux1r0qbY1g.png	(from https://wsuformulaelectric.framer.website/)
16:22:05	1675/1675	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2000:22:05%20GMT	https://framerusercontent.com/images/42TGkCeaw00NSYsNelaVTuurkL4.png	C:/My%20Web%20Sites/formulaelectric/framerusercontent.com/images/42TGkCeaw00NSYsNelaVTuurkL4.png	(from https://wsuformulaelectric.framer.website/)
16:22:06	17708/17708	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2000:22:06%20GMT	https://framerusercontent.com/images/5hEZ00jEn6dOQMQbpZvNMoJKRc.png	C:/My%20Web%20Sites/formulaelectric/framerusercontent.com/images/5hEZ00jEn6dOQMQbpZvNMoJKRc.png	(from https://wsuformulaelectric.framer.website/)
16:22:06	137398/137398	---M-Z	200	added ('OK')	text/html	etag:%22f26f76895585d8dfd63957ea8cc34d5f%22	https://wsuformulaelectric.framer.website/project-details/rontor-copy	C:/My%20Web%20Sites/formulaelectric/wsuformulaelectric.framer.website/project-details/rontor-copy.html	(from https://wsuformulaelectric.framer.website/)
16:22:06	248424/248424	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2000:22:06%20GMT	https://framerusercontent.com/images/Mgt20Apls2LFapYjeP844TkMFuk.jpg	C:/My%20Web%20Sites/formulaelectric/framerusercontent.com/images/Mgt20Apls2LFapYjeP844TkMFuk.jpg	(from https://wsuformulaelectric.framer.website/)
